,,,,Improvement
v4,38.4907,37.8787,0,1.58999446619572
v8,38.3037,32.1497,0,16.066333017437
v20,31.0723,31.0723,0,0
v16,28.8783,28.8783,0,0
v17,35.1938,32.9686,0,6.32270456728174
v6,29.4062,27.0244,0,8.09965245424434
v10,40.302,40.302,0,0
v5,41.515,41.515,0,0
v7,36.773,36.5475,0,0.613221657194147
v13,41.4699,41.4699,0,0
v14,42.2846,41.7884,0,1.1734768686472
v12,37.8826,37.8826,0,0
v15,32.9152,31.7358,0,3.58314699591677
v3,27.0957,27.0957,0,0
v9,35.5899,34.316,0,3.57938628655882
v19,35.5164,35.5164,0,0
v11,32.4093,32.4093,0,0
v2,35.9515,35.5746,0,1.04835681404116
v1,35.7803,35.7803,0,0
v18,37.6021,37.6021,0,0
