20140810T123437v11,105.417,105.417,0
20140810T123440v8,133.564,133.564,0
20140810T123437v8,126.064,126.064,0
20140810T123440v4,135.803,135.803,0
20140810T123443v11,131.298,131.298,0
20140810T123437v12,120.371,120.371,0
20140810T123437v9,96.8558,96.8558,0
20140810T123443v10,105.557,104.856,0
20140810T123440v7,109.73,109.73,0
20140810T123440v5,102.3,102.3,0
20140810T123440v1,104.702,104.702,0
20140810T123443v2,153.466,153.466,0
20140810T123440v10,103.007,103.007,0
20140810T123437v2,136.611,136.611,0
20140810T123437v4,150.891,150.891,0
20140810T123443v9,103.637,101.185,0
20140810T123437v1,133.77,133.77,0
20140810T123440v3,111.969,111.969,0
20140810T123437v3,129.091,129.091,0
20140810T123443v12,144.098,144.098,0
20140810T123443v4,172.947,172.947,0
20140810T123440v12,133.564,133.564,0
20140810T123437v7,111.11,111.11,0
20140810T123440v11,109.73,109.73,0
20140810T123443v7,138.044,138.044,0
20140810T123440v6,103.007,103.007,0
20140810T123440v9,102.3,102.3,0
20140810T123440v2,107.622,107.622,0
20140810T123443v8,150.844,150.844,0
20140810T123437v10,96.8558,96.8558,0
20140810T123437v6,102.262,102.262,0
20140810T123443v3,160.147,160.147,0
20140810T123443v6,113.973,113.973,0
20140810T123443v5,113.598,113.598,0
20140810T123437v5,102.262,102.262,0
20140810T123443v1,150.284,150.284,0
