20140810T123437v1,57.4455,0
20140810T123437v10,41.9077,3
20140810T123437v11,42.8958,2
20140810T123437v12,56.8493,3
20140810T123437v2,53.7933,1
20140810T123437v3,54.664,0
20140810T123437v4,67.464,0
20140810T123437v5,51.7792,2
20140810T123437v6,48.604,2
20140810T123437v7,49.5813,2
20140810T123437v8,62.3813,2
20140810T123437v9,43.482,2
20140810T123440v1,49.4304,2
20140810T123440v10,43.0764,4
20140810T123440v11,49.2043,3
20140810T123440v12,62.0043,3
20140810T123440v2,51.7077,1
20140810T123440v3,57.1016,1
20140810T123440v4,69.9016,1
20140810T123440v5,45.4555,2
20140810T123440v6,44.506,2
20140810T123440v7,49.8999,2
20140810T123440v8,62.6999,2
20140810T123440v9,42.5331,4
20140810T123443v1,69.5865,0
20140810T123443v10,47.9348,3
20140810T123443v11,57.3823,3
20140810T123443v12,69.195,3
20140810T123443v2,72.1465,0
20140810T123443v3,77.3439,0
20140810T123443v4,90.1439,0
20140810T123443v5,58.7121,2
20140810T123443v6,59.0868,2
20140810T123443v7,65.5227,2
20140810T123443v8,84.8137,1
20140810T123443v9,46.9314,3

20140810T123437v1,57.4455,0
20140810T123437v10,41.9077,3
20140810T123437v11,42.8958,2
20140810T123437v12,56.8493,3
20140810T123437v2,53.7933,1
20140810T123437v3,54.664,0
20140810T123437v4,67.464,0
20140810T123437v5,50.5709,3
20140810T123437v6,47.6013,2
20140810T123437v7,49.5813,2
20140810T123437v8,62.3813,2
20140810T123437v9,43.482,2
20140810T123440v1,48.3364,2
20140810T123440v10,43.0764,4
20140810T123440v11,49.2043,3
20140810T123440v12,62.0043,3
20140810T123440v2,49.8797,2
20140810T123440v3,56.6736,2
20140810T123440v4,69.9016,1
20140810T123440v5,45.4555,2
20140810T123440v6,44.506,2
20140810T123440v7,49.8999,2
20140810T123440v8,62.6999,2
20140810T123440v9,42.5331,4
20140810T123443v1,69.5865,0
20140810T123443v10,46.8024,3
20140810T123443v11,57.3823,3
20140810T123443v12,69.195,3
20140810T123443v2,72.1465,0
20140810T123443v3,77.3439,0
20140810T123443v4,90.1439,0
20140810T123443v5,58.0691,3
20140810T123443v6,57.6093,2
20140810T123443v7,65.5227,2
20140810T123443v8,84.8137,1
20140810T123443v9,46.2441,3
