v100,49.2495,49.2495,1.152,0
v4,45.7014,45.7014,125.234,0
v60,57.8316,57.0024,2.087,1
v70,50.0786,50.0786,19.384,0
v44,63.4109,63.4109,15.795,0
v8,63.6695,61.1385,18.24,1
v20,52.7067,52.7067,2.148,0
v16,53.8539,53.8539,1096.95,0
v78,46.7012,46.7012,5.857,0
v17,55.0063,55.0062,11.848,0
v6,59.4634,59.4635,71.284,0
v57,60.1832,60.1832,992.746,1
v31,58.2349,58.2349,36.827,0
v41,55.9417,55.9417,47.514,0
v10,58.1618,58.1618,3.896,0
v64,57.4351,57.4351,20.818,0
v29,58.3167,57.1674,8.46,2
v40,58.3329,58.3329,5.848,0
v22,64.3495,61.7927,1107.49,1
v68,53.6029,53.6029,224.754,0
v76,54.1021,54.1021,23.765,0
v75,57.0132,57.0132,63.421,1
v48,52.4583,52.4583,6.57,0
v5,55.353,55.353,92.275,0
v88,58.379,58.379,270.881,0
v98,59.1628,59.1628,2.34,0
v7,50.3307,50.3307,5.591,0
v74,58.5468,58.5468,3.716,0
v28,51.041,51.041,4.665,0
v63,51.6984,51.6984,23.966,0
v71,59.7058,59.5259,2.722,1
v56,60.4175,60.4175,1.007,0
v49,56.0163,56.0163,81.441,0
v13,50.651,50.651,47.878,0
v62,52.108,52.108,185.543,0
v66,44.0502,44.0502,137.039,0
v93,47.193,47.193,1.503,0
v91,47.3985,47.3985,3.951,0
v96,52.7375,52.7375,11.645,0
v80,56.6247,56.6247,33.719,0
v14,51.5887,51.5887,5.875,0
v51,44.6004,44.6004,0.5,0
v34,61.7583,61.7583,2.077,0
v82,48.2581,48.2581,2.938,0
v24,58.9234,57.4121,2.386,1
v36,55.8457,54.6825,5.32,1
v43,47.6286,47.6286,17.597,0
v58,48.4466,46.7285,3.789,1
v12,43.5661,43.5661,115.566,0
v95,51.0051,51.0051,2.175,0
v79,44.7623,44.7623,265.117,0
v33,57.7375,57.7375,257.751,0
v61,59.2071,59.2071,2.16,0
v32,45.8967,45.8967,132.014,0
v23,65.5926,65.5926,71.481,0
v69,42.149,42.1489,14.45,1
v21,52.6573,52.6573,70.828,0
v85,61.2962,61.2962,46.968,0
v52,44.722,44.722,132.794,0
v54,53.8168,53.8168,2.387,0
v65,39.6988,39.6988,13.701,0
v39,63.0109,63.0109,3.712,1

v100,49.2495,0,0.437,6.62787e-310
v4,45.7014,0,3.158,6.17801e-310
v60,57.8316,0,1.686,6.69268e-310
v70,50.0786,0,4.197,4.87869e-310
v44,63.4109,0,3.519,6.77416e-310
v8,63.6695,0,2.939,5.09143e-310
v20,52.7067,0,0.558,5.4664e-310
v16,53.8539,0,6.091,4.78553e-310
v78,46.7012,0,4.097,4.80794e-310
v17,55.0063,0,2.614,5.25363e-310
v6,59.4634,0,2.265,4.77403e-310
v57,60.1832,0,2.632,6.77098e-310
v31,58.2349,0,4.302,6.55447e-310
v41,55.9417,0,4.365,4.72009e-310
v10,58.1618,0,3.216,5.38624e-310
v64,57.4351,0,2.245,5.0532e-310
v29,58.3167,0,1.537,6.56662e-310
v40,58.3329,0,3.659,6.15027e-310
v22,64.3495,0,3.045,6.59621e-310
v68,53.6029,0,5.911,6.69834e-310
v76,54.1021,0,3.869,5.29011e-310
v75,57.0132,0,4.391,6.66207e-310
v48,52.4583,0,1.345,5.13747e-310
v5,55.353,0,3.148,5.41062e-310
v88,58.379,0,3.992,6.43609e-310
v98,59.1628,0,0.491,6.6785e-310
v7,50.3307,0,4.135,6.9044e-310
v74,58.5468,0,2.763,5.16622e-310
v28,51.041,0,1.265,5.0249e-310
v63,51.6984,0,3.998,6.50686e-310
v71,59.7058,0,2.04,4.88989e-310
v56,60.4175,0,0.509,6.87388e-310
v49,56.0163,0,5.946,5.16375e-310
v13,50.651,0,6.334,5.22465e-310
v62,52.108,0,5.709,5.11119e-310
v66,44.0502,0,3.299,4.76988e-310
v93,47.193,0,1.257,5.48372e-310
v91,47.3985,0,2.747,5.45795e-310
v96,52.7375,0,3.559,5.17613e-310
v80,56.6247,0,3.096,6.40039e-310
v14,51.5887,0,3.83,5.29635e-310
v51,44.6004,0,0.639,5.46897e-310
v34,61.7583,0,0.659,6.71092e-310
v82,48.2581,0,3.482,5.16919e-310
v24,58.9234,0,2.693,6.41175e-310
v36,55.8457,0,5.117,6.27541e-310
v43,47.6286,0,3.663,5.12846e-310
v58,48.4466,0,7.244,6.74607e-310
v12,43.5661,0,4.451,6.87777e-310
v95,51.0051,0,0.588,6.18902e-310
v79,44.7623,0,4.912,6.83353e-310
v33,57.7375,0,5.986,5.10643e-310
v61,59.2071,0,1.546,5.17924e-310
v32,45.8967,0,4.801,6.69082e-310
v23,65.5926,0,2.87,6.45327e-310
v69,42.149,0,5.024,5.44032e-310
v21,52.6573,0,4.799,5.08992e-310
v85,61.2962,0,4.295,4.63894e-310
v52,44.722,0,2.28,6.34114e-310
v54,53.8168,0,0.488,5.50376e-310
v65,39.6988,0,3.809,6.6448e-310
v39,63.0109,0,0.477,4.6381e-310
v46,65.1897,0,1.694,5.00161e-310
v15,53.9203,0,4.215,4.78391e-310
v30,64.7542,0,3.249,5.50308e-310
v67,51.5832,0,5.392,6.37647e-310
v97,64.408,0,0.394,6.18513e-310
v37,64.8613,0,3.167,5.1146e-310
